City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Salsomaggiore Terme,IT,44.81,9.98,28.4,100,0,3.36,clear sky
147,Broken Hill,AU,-31.95,141.43,96.8,11,100,17.22,overcast clouds
148,Kabinda,CD,-6.13,24.48,78.22,76,83,1.61,broken clouds
149,Georgetown,MY,5.41,100.34,89.6,66,20,8.05,few clouds
150,Penzance,GB,50.12,-5.54,46.4,87,99,23.04,overcast clouds
151,Cabo San Lucas,MX,22.89,-109.91,61.0,76,2,1.01,clear sky
152,Miguel Calmon,BR,-11.43,-40.59,64.26,88,69,2.89,broken clouds
153,Teknaf,BD,20.86,92.31,78.93,41,0,9.42,clear sky
154,Sumenep,ID,-7.02,113.87,85.41,67,73,5.59,broken clouds
155,Osa,RU,57.28,55.46,22.8,97,100,13.98,light snow
156,Inta,RU,66.03,60.17,-8.57,82,100,21.14,overcast clouds
157,Gandai,IN,21.67,81.1,77.83,24,40,4.47,scattered clouds
158,Norman Wells,CA,65.28,-126.83,1.4,84,75,3.36,broken clouds
159,Provideniya,RU,64.38,-173.3,9.25,93,40,20.15,scattered clouds
160,Dunedin,NZ,-45.87,170.5,46.99,79,4,7.0,clear sky
161,Shahr-E Kord,IR,32.33,50.86,28.4,54,0,2.24,clear sky
162,Chokurdakh,RU,70.63,147.92,-27.85,85,0,6.87,clear sky
163,Kahta,TR,37.79,38.62,35.6,69,0,3.36,clear sky
164,Idritsa,RU,56.33,28.9,27.34,97,99,5.97,overcast clouds
165,Wadi Maliz,TN,36.47,8.55,44.6,93,40,11.41,shower rain
166,Thunder Bay,CA,48.4,-89.32,15.8,85,90,5.82,light snow
167,Constitucion,CL,-35.33,-72.42,56.52,91,80,0.6,broken clouds
168,Terrell,US,32.74,-96.28,52.0,66,1,11.41,clear sky
169,Luwero,UG,0.85,32.47,84.43,43,67,2.17,broken clouds
170,Marrakesh,MA,31.63,-8.01,44.6,70,0,5.82,clear sky
171,Ocos,GT,14.51,-92.19,64.99,96,0,4.9,clear sky
172,Najran,SA,17.49,44.13,57.2,58,0,6.93,clear sky
173,Butaritari,KI,3.07,172.79,81.7,79,26,17.67,scattered clouds
174,Severo-Kurilsk,RU,50.68,156.12,23.61,86,89,21.45,light snow
175,Nanortalik,GL,60.14,-45.24,30.06,79,100,5.44,overcast clouds
176,Maniitsoq,GL,65.42,-52.9,24.85,77,100,9.51,overcast clouds
177,Matagami,CA,49.75,-77.63,-0.4,91,90,4.7,light snow
178,Larsnes,NO,62.2,5.58,46.99,49,100,18.34,overcast clouds
179,Iqaluit,CA,63.75,-68.51,19.4,85,90,38.03,light snow
180,Peniche,PT,39.36,-9.38,35.01,8,68,3.87,broken clouds
181,Lagoa,PT,39.05,-27.98,58.1,68,100,18.25,overcast clouds
182,Richards Bay,ZA,-28.78,32.04,88.21,59,0,14.0,clear sky
183,Guerrero Negro,MX,27.98,-114.06,59.2,80,0,7.11,clear sky
184,Villa Union,MX,23.2,-106.23,64.0,93,5,2.17,clear sky
185,Berwick,US,41.05,-76.23,21.99,76,0,1.99,clear sky
186,Hasaki,JP,35.73,140.83,52.0,71,75,9.17,broken clouds
187,Cairns,AU,-16.92,145.77,87.8,58,90,11.41,overcast clouds
188,Panalingaan,PH,8.78,117.42,81.99,80,77,7.18,light rain
189,Khatassy,RU,61.9,129.64,-50.8,56,90,4.21,fog
190,Vila,PT,42.03,-8.16,37.0,94,75,6.93,broken clouds
191,Okhotsk,RU,59.38,143.3,-22.54,73,0,15.57,clear sky
192,Escanaba,US,45.75,-87.06,24.01,79,90,3.36,overcast clouds
193,Quelimane,MZ,-17.88,36.89,86.0,79,75,3.36,broken clouds
194,Vao,NC,-22.67,167.48,77.86,78,100,9.51,overcast clouds
195,Maun,BW,-19.98,23.42,77.0,88,0,5.82,light rain
