City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Jacareacanga,BR,20-12-23 23:07:23,-6.22,-57.75,76.44,94,97,2.01
145,Oliveira,BR,20-12-23 23:07:24,-20.7,-44.83,68.0,91,96,7.7
146,Sassandra,CI,20-12-23 23:07:24,4.95,-6.08,77.74,87,42,6.04
147,Huarmey,PE,20-12-23 23:07:24,-10.07,-78.15,70.41,76,100,10.11
148,Jacksonville,US,20-12-23 23:05:29,30.33,-81.66,69.8,60,20,10.29
149,Qui Nhon,VN,20-12-23 23:07:25,13.77,109.23,71.89,88,43,10.02
150,Rio Gallegos,AR,20-12-23 23:07:25,-51.62,-69.22,69.8,32,40,34.45
151,Carutapera,BR,20-12-23 23:07:26,-1.2,-46.02,78.96,80,73,7.65
152,Touros,BR,20-12-23 23:07:27,-5.2,-35.46,78.8,74,40,11.41
153,Shitanjing,CN,20-12-23 23:07:27,39.23,106.34,16.86,70,0,11.63
154,Poltavka,RU,20-12-23 23:07:27,54.37,71.76,10.56,96,97,11.99
155,Usogorsk,RU,20-12-23 23:07:28,63.41,48.69,5.4,92,98,9.69
156,Maniitsoq,GL,20-12-23 23:07:28,65.42,-52.9,34.61,89,100,18.19
157,Codrington,AU,20-12-23 23:07:29,-38.27,141.97,58.06,63,24,11.1
158,Muroto,JP,20-12-23 23:07:29,33.28,134.15,44.6,70,75,9.17
159,Ati,TD,20-12-23 23:07:29,13.22,18.34,76.26,19,9,9.89
160,Carnarvon,AU,20-12-23 23:07:30,-24.87,113.63,75.2,100,90,13.87
161,Vao,NC,20-12-23 23:07:30,-22.67,167.48,75.92,73,84,5.82
162,Port Elizabeth,ZA,20-12-23 23:07:31,-33.92,25.57,68.0,77,40,21.92
163,Kaeo,NZ,20-12-23 23:07:31,-35.1,173.78,77.0,59,76,17.0
164,Thompson,CA,20-12-23 23:04:04,55.74,-97.86,-14.8,75,90,3.36
165,Port-Cartier,CA,20-12-23 23:07:32,50.03,-66.87,15.8,56,11,6.93
166,Sayyan,YE,20-12-23 23:07:32,15.17,44.32,46.63,67,26,1.54
167,Aleksandrovskoye,RU,20-12-23 23:07:33,44.71,43.0,23.0,92,90,11.18
168,Whitehorse,CA,20-12-23 23:04:59,60.72,-135.05,30.2,80,75,14.99
169,Rocha,UY,20-12-23 23:07:35,-34.48,-54.33,64.99,75,0,9.4
170,Saskylakh,RU,20-12-23 23:07:35,71.92,114.08,-25.22,85,98,7.02
171,Guerrero Negro,MX,20-12-23 23:07:36,27.98,-114.06,66.85,49,99,6.08
172,Dalvik,IS,20-12-23 23:07:37,65.97,-18.53,17.6,85,0,11.01
173,Richards Bay,ZA,20-12-23 23:07:37,-28.78,32.04,73.08,86,100,9.75
174,Margate,GB,20-12-23 23:07:38,51.38,1.39,46.99,81,73,1.99
175,Isangel,VU,20-12-23 23:07:39,-19.55,169.27,84.2,79,75,5.82
176,Tadine,NC,20-12-23 23:07:40,-21.55,167.88,82.22,62,19,6.31
177,Avarua,CK,20-12-23 23:07:40,-21.21,-159.78,71.6,88,100,2.24
178,Kahului,US,20-12-23 23:05:48,20.89,-156.47,84.2,48,20,10.29
179,Tiarei,PF,20-12-23 23:07:42,-17.53,-149.33,77.0,88,75,13.87
180,Tawang,IN,20-12-23 23:07:42,27.58,91.87,36.16,74,0,3.49
181,Oksovskiy,RU,20-12-23 23:07:43,62.61,39.9,23.67,96,100,8.41
182,Yaan,NG,20-12-23 23:07:43,7.38,8.57,82.9,40,5,3.6
